Episode,DQN,DDQN,PERDQN,PERDDQN
170,8.0,6.0,3.0,5.0
171,1.0,7.0,5.0,8.0
172,2.0,6.0,2.0,7.0
173,3.0,5.0,10.0,1.0
174,6.0,3.0,2.0,7.0
175,9.0,7.0,7.0,2.0
176,12.0,5.0,5.0,5.0
177,5.0,-2.0,8.0,7.0
178,3.0,0.0,2.0,7.0
179,8.0,5.0,5.0,2.0
180,0.0,6.0,4.0,4.0
181,9.0,3.0,6.0,5.0
182,3.0,4.0,6.0,4.0
183,3.0,4.0,5.0,1.0
184,10.0,3.0,4.0,6.0
185,8.0,5.0,4.0,0.0
186,6.0,4.0,4.0,6.0
187,11.0,9.0,6.0,1.0
188,7.0,3.0,6.0,0.0
189,8.0,1.0,7.0,1.0
190,4.0,2.0,6.0,5.0
191,6.0,9.0,11.0,10.0
192,6.0,6.0,7.0,4.0
193,6.0,4.0,9.0,2.0
194,1.0,9.0,6.0,8.0
195,8.0,13.0,7.0,0.0
196,1.0,2.0,1.0,2.0
197,8.0,2.0,8.0,8.0
198,4.0,7.0,8.0,8.0
199,8.0,5.0,1.0,7.0
200,7.0,4.0,2.0,3.0
201,7.0,3.0,7.0,7.0
202,12.0,7.0,6.0,7.0
203,1.0,1.0,7.0,10.0
204,4.0,6.0,8.0,8.0
205,12.0,2.0,3.0,8.0
206,10.0,5.0,5.0,9.0
207,7.0,0.0,6.0,1.0
208,5.0,-1.0,9.0,4.0
209,14.0,7.0,3.0,3.0
210,2.0,6.0,4.0,5.0
211,8.0,6.0,5.0,2.0
212,6.0,11.0,8.0,6.0
213,8.0,7.0,13.0,8.0
214,6.0,6.0,4.0,4.0
215,12.0,11.0,11.0,7.0
216,11.0,13.0,12.0,7.0
217,9.0,2.0,8.0,6.0
218,7.0,4.0,7.0,4.0
219,4.0,5.0,7.0,7.0
220,4.0,7.0,13.0,2.0
221,9.0,3.0,8.0,11.0
222,5.0,6.0,3.0,5.0
223,4.0,4.0,4.0,7.0
224,9.0,10.0,15.0,10.0
225,9.0,8.0,9.0,7.0
226,6.0,6.0,12.0,4.0
227,11.0,3.0,10.0,2.0
228,4.0,10.0,6.0,6.0
229,7.0,0.0,6.0,8.0
230,8.0,6.0,10.0,5.0
231,11.0,6.0,4.0,11.0
232,8.0,11.0,7.0,6.0
233,9.0,9.0,7.0,6.0
234,5.0,6.0,7.0,3.0
235,3.0,8.0,3.0,6.0
236,7.0,10.0,8.0,8.0
237,10.0,8.0,11.0,10.0
238,11.0,3.0,2.0,7.0
239,13.0,6.0,6.0,13.0
240,8.0,4.0,6.0,6.0
241,15.0,9.0,3.0,11.0
242,9.0,6.0,10.0,11.0
243,6.0,10.0,5.0,3.0
244,8.0,3.0,9.0,7.0
245,11.0,12.0,9.0,9.0
246,6.0,9.0,5.0,10.0
247,6.0,13.0,8.0,6.0
248,12.0,12.0,10.0,6.0
249,7.0,9.0,12.0,7.0
250,5.0,10.0,7.0,6.0
251,13.0,11.0,12.0,7.0
252,4.0,9.0,10.0,8.0
253,3.0,3.0,4.0,11.0
254,2.0,8.0,11.0,9.0
255,8.0,9.0,11.0,13.0
256,3.0,2.0,5.0,14.0
257,11.0,4.0,11.0,6.0
258,4.0,10.0,7.0,7.0
259,9.0,10.0,9.0,15.0
260,7.0,3.0,5.0,4.0
261,6.0,7.0,6.0,9.0
262,11.0,9.0,4.0,6.0
263,7.0,10.0,7.0,7.0
264,3.0,6.0,2.0,10.0
265,9.0,9.0,4.0,7.0
266,12.0,9.0,11.0,6.0
267,7.0,6.0,11.0,7.0
268,4.0,6.0,6.0,4.0
269,8.0,2.0,11.0,13.0
270,7.0,4.0,7.0,6.0
271,13.0,9.0,7.0,7.0
272,4.0,9.0,9.0,2.0
273,6.0,5.0,13.0,7.0
274,10.0,7.0,10.0,8.0
275,7.0,9.0,10.0,13.0
276,7.0,11.0,13.0,10.0
277,8.0,7.0,10.0,10.0
278,8.0,5.0,7.0,5.0
279,6.0,5.0,4.0,10.0
280,10.0,7.0,6.0,8.0
281,13.0,9.0,10.0,4.0
282,8.0,5.0,9.0,6.0
283,2.0,7.0,14.0,2.0
284,12.0,2.0,10.0,7.0
285,6.0,5.0,10.0,3.0
286,10.0,11.0,11.0,8.0
287,13.0,8.0,4.0,15.0
288,4.0,13.0,8.0,13.0
289,9.0,12.0,3.0,9.0
290,11.0,2.0,4.0,6.0
291,9.0,12.0,12.0,4.0
292,11.0,5.0,8.0,10.0
293,8.0,8.0,5.0,2.0
294,10.0,9.0,12.0,11.0
295,4.0,14.0,4.0,10.0
296,6.0,12.0,8.0,6.0
297,8.0,9.0,9.0,7.0
