Episode,DQN,DDQN,PERDQN,PERDDQN
761,17.0,14.0,3.0,10.0
762,21.0,18.0,14.0,15.0
763,19.0,23.0,6.0,16.0
764,18.0,22.0,5.0,19.0
765,21.0,17.0,12.0,13.0
766,16.0,10.0,15.0,14.0
767,18.0,16.0,16.0,12.0
768,3.0,12.0,11.0,13.0
769,14.0,20.0,12.0,16.0
770,5.0,17.0,8.0,18.0
771,23.0,18.0,11.0,19.0
772,17.0,13.0,14.0,17.0
773,14.0,19.0,19.0,16.0
774,18.0,15.0,14.0,16.0
775,22.0,18.0,16.0,9.0
776,19.0,18.0,19.0,13.0
777,18.0,13.0,17.0,18.0
778,15.0,19.0,13.0,16.0
779,13.0,20.0,10.0,23.0
780,14.0,15.0,16.0,16.0
781,17.0,15.0,14.0,7.0
782,24.0,15.0,20.0,15.0
783,20.0,18.0,10.0,10.0
784,16.0,16.0,16.0,23.0
785,25.0,17.0,7.0,19.0
786,13.0,22.0,10.0,11.0
787,9.0,19.0,15.0,14.0
788,15.0,16.0,17.0,11.0
789,9.0,15.0,12.0,7.0
790,9.0,20.0,3.0,12.0
791,19.0,19.0,17.0,12.0
792,13.0,15.0,11.0,15.0
793,16.0,19.0,17.0,5.0
794,10.0,13.0,12.0,15.0
795,15.0,20.0,11.0,18.0
796,17.0,11.0,14.0,15.0
797,17.0,18.0,8.0,14.0
798,14.0,17.0,10.0,18.0
799,17.0,16.0,15.0,17.0
